date,CLFirstBarStrategyLongs,CLFirstBarStrategyShorts,CLRSIDirectionStrategyLongs,CLRSIDirectionStrategyShorts,CLVWAPSMAStrategyLongsND,ESGapClosure0925ConstStrategy,ESGapClosure0925Strategy,ESGapClosureConstStrategy,ESGapClosureStrategy,ESVWAPStrategy,GCESTwoSymbolsStrategyLongs,GCESTwoSymbolsStrategyShorts,NGFirstBarStrategyShorts,NQCCI1minStrategyLongs,NQCCI1minStrategyShorts,NQGapClosure5minConstStrategy,NQGapClosureStrategyParameters30min,NQTimeFrameNoRTHStrategyLongs,NQVWAPSMAStrategyLongs,NQVWAPSMAStrategyLongsND,NQVWAPSMAStrategyShorts,NQVWAPSMAStrategyShortsND,NQEmaStrategy30minLongs,NQEmaStrategy30minShorts,RTYGapClosureConstStrategy,YMGapClosureConstStrategy,YMVWAPSMA60minStrategyLongsND,RBEmaStrategyShorts,RBEmaStrategyLongs,NGVWAPSMAStrategyLongs,NGVWAPSMAStrategyShorts,CLVWAPSMAStrategyLongs,CLVWAPSMAStrategyShorts,HOVWAPSMAStrategyLongs,HOVWAPSMAStrategyShorts,RBVWAPSMAStrategyLongs,RBVWAPSMAStrategyShorts,CLNQTwoSymbolsStrategyShorts,CLNQTwoSymbolsStrategyLongs,NQYMTwoSymbolsStrategyShorts,NQYMTwoSymbolsStrategyLongs,SIVWAPSMAStrategyLongs,SIVWAPSMAStrategyShorts,HORSIDirectionStrategyLongs,HORSIDirectionStrategyShorts,NGRSIDirectionStrategyLongs,NGRSIDirectionStrategyShorts
1/2/2018,0,0,0,-110,0,-447.5,-472.5,440,-472.5,240,0,0,0,280,30,1435,695,0,680,0,-5,0,790,0,-285,-440,0,-32.6,-228.4,-110,-410,0,-300,0,494,0,347,0,-60,0,490,-270,0,0,410,0,270
1/3/2018,700,0,0,-300,210,0,0,0,0,352.5,0,0,160,250,0,0,0,200,425,850,80,0,475,0,-115,-30,0,0,555.4,-20,-270,380,0,174.8,0,116,0,0,-70,0,420,-535,0,544.4,0,-190,0
1/4/2018,0,0,0,-130,750,-235,127.5,52.5,140,-22.5,0,0,1350,-415,85,-80,20,390,-30,795,-225,0,-75,0,305,150,0,-295.6,712.4,-240,1250,70,0,-805.4,-31,468.8,-232.6,0,190,155,0,-370,0,-148.6,174.8,0,320
1/5/2018,0,-100,210,0,-1030,-610,-647.5,752.5,-547.5,390,0,70,-210,85,40,875,-610,435,590,505,-165,-690,715,0,175,220,0,-52,-595.4,-130,0,40,-220,-1078.4,-375.4,-564.4,-102.4,-250,0,0,365,15,0,-1.6,0,0,0
1/8/2018,0,0,60,10,0,0,0,0,0,390,0,-420,0,50,70,0,0,0,95,0,0,0,265,0,-185,0,0,-318.2,-240,0,-380,60,-100,0,-14.2,57.2,0,0,80,0,120,0,-60,-43.6,183.2,0,250
1/9/2018,910,0,190,-1020,430,-10,-10,2.5,152.5,140,0,450,-330,60,-100,-25,80,125,-165,360,0,-235,115,0,-120,240,0,0,1329.8,450,-360,450,-420,338.6,-661,372.2,0,0,550,-85,0,-45,-320,531.8,527.6,170,0
1/10/2018,0,0,0,-140,1010,190,140,-235,-185,140,0,0,0,-105,-15,-175,-610,-630,785,-915,0,0,0,0,20,-235,0,0,-341.8,0,-50,0,-240,-119.2,-288.8,0,2.6,0,30,-325,0,0,190,61.4,-341.8,0,290
1/11/2018,230,0,0,40,230,-672.5,-735,615,477.5,277.5,-390,0,0,40,30,620,390,375,595,790,0,0,570,0,-945,270,270,303.4,265.6,-60,0,-120,650,-194.8,531.8,-144.4,0,700,0,-560,0,-310,-470,0,0,150,-400
1/12/2018,0,-1060,760,-70,770,-835,702.5,690,627.5,440,0,0,-480,80,-15,0,0,240,600,1625,0,0,495,0,0,530,0,-1.6,471.4,660,0,340,0,-200.6,-425.8,363.8,-253.6,0,30,0,0,865,0,380.6,-169.6,0,0
1/15/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
