date,CLFirstBarStrategy,CLRSIDirectionStrategy,CLVWAPSMAStrategyLongsND,ESGapClosure0925ConstStrategy,ESGapClosure0925Strategy,ESGapClosureConstStrategy,ESGapClosureStrategy,ESVWAPStrategy,GCESTwoSymbolsStrategy,NGFirstBarStrategyShorts,NQCCI1minStrategy,NQGapClosure5minConstStrategy,NQGapClosureStrategyParameters30min,NQTimeFrameNoRTHStrategyLongs,NQVWAPSMAStrategy,NQVWAPSMAStrategyND,NQEmaStrategy30min,RTYGapClosureConstStrategy,YMGapClosureConstStrategy,YMVWAPSMA60minStrategyLongsND
1/2/2018,0,-110,0,-448,-473,440,-473,240,0,0,310,1435,695,0,675,0,790,-285,-440,0
1/3/2018,700,-300,210,0,0,0,0,353,0,160,250,0,0,200,505,850,475,-115,-30,0
1/4/2018,0,-130,750,-235,128,53,140,-23,0,1350,-330,-80,20,390,-255,795,-75,305,150,0
1/5/2018,-100,210,-1030,-610,-648,753,-548,390,70,-210,125,875,-610,435,425,-185,715,175,220,0
1/8/2018,0,70,0,0,0,0,0,390,-420,0,120,0,0,0,95,0,265,-185,0,0
1/9/2018,910,-830,430,-10,-10,3,153,140,450,-330,-40,-25,80,125,-165,125,115,-120,240,0
1/10/2018,0,-140,1010,190,140,-235,-185,140,0,0,-120,-175,-610,-630,785,-915,0,20,-235,0
1/11/2018,230,40,230,-673,-735,615,478,278,-390,0,70,620,390,375,595,790,570,-945,270,270
1/12/2018,-1060,690,770,-835,703,690,628,440,0,-480,65,0,0,240,600,1625,495,0,530,0
1/15/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2018,350,-330,-240,-1223,-1223,-1310,-1173,-223,460,-920,-385,-1645,-925,0,875,-480,-1395,-285,-350,0
1/17/2018,-450,0,0,-760,-735,865,-1035,1015,-460,-580,-190,1025,-625,505,600,35,745,-150,355,0
1/18/2018,0,300,230,0,0,0,0,-533,0,60,-265,10,235,-190,-70,180,70,-195,0,0
1/19/2018,-110,100,-1200,253,253,228,278,55,300,-90,-105,-245,-410,445,-170,240,230,0,0,0
1/22/2018,-240,430,120,1103,1103,-1098,-873,740,0,-40,130,0,0,0,805,0,1255,265,-500,0
1/23/2018,590,-420,0,0,0,0,0,253,0,0,250,565,510,100,-270,1135,530,75,0,0
1/24/2018,0,-240,60,340,-398,-285,-348,-783,10,-20,110,-860,935,295,-360,-420,-695,735,-285,0
1/25/2018,-580,-130,910,440,390,-210,315,-235,1730,790,155,-795,1030,830,-850,-1590,-945,270,450,0
1/26/2018,660,-230,170,-1160,-1198,1065,915,953,0,-550,255,1285,-610,475,1010,230,1235,210,115,0
1/29/2018,220,-220,0,-510,-535,628,515,-398,0,-840,-160,195,-610,0,-730,-730,-465,-45,540,0
1/30/2018,270,110,-720,-410,-323,378,-435,-708,-150,260,-20,-145,-870,-825,-1720,-1125,0,-225,595,0
1/31/2018,-500,-1290,-590,240,-510,-548,-735,-398,-120,690,-155,-615,-495,490,-260,520,-765,-750,-515,460
2/1/2018,0,-220,100,103,140,65,-235,-545,0,520,-440,580,-200,-450,-190,-475,-465,300,-1005,0
2/2/2018,0,320,-110,-2223,-2198,2003,1728,-235,-290,180,-290,2155,-650,-1660,585,2340,0,-850,680,-2580
2/5/2018,860,-1050,-440,-4510,-4510,4515,-5210,28,0,430,-1770,3990,-610,0,4645,-1400,0,-135,-150,0
2/6/2018,-250,530,-770,3915,4203,-2260,3303,-825,880,-470,960,-2715,-610,-1105,-2265,5855,-1335,940,-560,0
2/7/2018,1380,1030,-1490,0,0,0,0,-295,0,270,-620,0,-615,-440,520,1755,-2670,0,0,-3715
2/8/2018,0,580,150,0,0,0,0,0,0,180,115,0,3545,1175,4300,1020,0,785,0,0
2/9/2018,0,-1210,0,-1123,-1010,1403,228,605,-220,610,880,1370,-775,430,2725,5690,0,-1180,-1755,-3375
2/12/2018,0,380,0,478,478,465,728,1040,0,-70,335,760,-575,0,470,-605,970,0,295,0
2/13/2018,-240,50,0,1065,1128,-1048,978,915,0,20,205,-1105,1335,-450,0,-255,620,85,-70,0
2/14/2018,-1660,-30,-380,2590,2665,-2498,2228,2103,0,-360,1305,-2825,3090,620,1755,1565,1475,1205,-785,0
2/15/2018,-520,0,1650,-710,-660,490,-560,293,0,0,265,1095,-750,725,355,2015,1015,170,-670,0
2/16/2018,0,510,30,-473,503,-260,340,-420,0,-220,-895,-475,0,285,-170,1315,-240,0,0,0
2/19/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/2018,0,310,-560,-173,-110,390,-548,-173,0,130,455,-315,240,0,-850,-680,-1375,490,-105,0
2/21/2018,-360,80,-380,328,290,-873,-198,-85,0,-210,430,-630,-55,225,-1000,-1610,-1225,-700,0,-1190
2/22/2018,1170,320,-380,-710,-710,-860,-660,-110,-360,160,555,-980,-610,475,75,470,-520,245,660,-250
2/23/2018,650,470,550,1028,1028,1190,978,1178,-180,-230,-185,1485,-610,590,1260,-290,1745,-140,150,0
2/26/2018,-380,570,0,-823,-835,403,653,703,0,0,150,265,625,0,625,-270,670,185,35,0
2/27/2018,780,-30,-500,0,0,0,0,-510,0,0,140,0,0,-235,1195,495,385,-720,0,0
2/28/2018,0,910,-1060,1853,-1898,-1798,1115,-608,0,0,-200,-1400,-610,-270,-1950,-480,-2225,-470,-605,-2255
3/1/2018,50,250,-170,0,0,0,0,-645,-440,0,385,0,3270,0,505,0,0,0,0,0
3/2/2018,-690,0,-140,1715,1740,-2048,1078,1230,1140,150,-15,-2940,-610,-1680,1425,4070,0,1255,-785,-2945
3/5/2018,0,640,0,2190,2278,-1948,2178,2240,0,0,-275,-1890,-610,0,1230,-820,2115,770,-1345,0
3/6/2018,-700,200,1290,-248,140,-10,-23,-420,0,0,-410,25,-610,705,-1560,-80,-300,45,-770,0
3/7/2018,950,1310,0,1015,1040,-585,653,618,-660,-100,415,-685,935,415,-460,-1510,640,385,695,0
3/8/2018,0,-670,0,-23,-48,3,165,-445,0,160,-55,-120,-375,755,-980,455,235,0,-620,210
3/9/2018,1280,-960,900,-1485,-1485,1453,1328,1203,-520,-50,450,1565,-610,80,795,1420,1565,-515,880,0
3/12/2018,270,340,0,103,53,-298,-235,-360,0,-40,200,135,65,0,-1795,-1760,-105,30,-770,0
3/13/2018,610,490,-1390,1515,1503,-1610,-1735,0,0,130,335,-2680,-515,210,2470,-470,-400,680,-1115,0
3/14/2018,-410,-480,0,1165,1178,-1010,1278,-595,90,180,420,-380,720,1205,-1215,-15,-1370,710,-1540,0
3/15/2018,-160,-1220,10,228,240,-135,90,-185,-20,610,-185,0,0,-90,-435,-345,-1215,320,1020,170
3/16/2018,1100,450,110,128,128,65,53,-173,0,-120,450,-320,-515,-250,515,180,-880,0,0,0
3/19/2018,0,60,0,1303,1303,1365,1728,0,0,360,355,1640,2035,0,605,0,0,-900,995,0
3/20/2018,0,-310,740,-248,-248,0,0,-880,210,-120,-1255,0,0,335,-1090,-280,-660,0,135,-115
3/21/2018,870,-340,820,0,0,0,0,-195,0,520,100,165,-440,-565,-960,-1135,-1400,0,0,0
3/22/2018,580,-280,700,1878,1878,2128,1528,-1793,1130,230,-120,1700,-610,-1595,-2395,195,0,290,990,0
3/23/2018,930,-440,580,0,0,0,0,-683,580,-10,-580,0,0,-520,955,2530,0,0,0,-2935
3/26/2018,0,-340,0,1378,1378,1228,990,1430,0,0,485,1965,-635,0,3305,-190,2345,-600,-785,0
3/27/2018,0,480,0,2903,2940,-2860,2778,-808,0,-440,820,-5430,5005,915,4400,3135,2645,140,855,0
3/28/2018,-530,490,0,0,0,0,0,-1718,0,10,1595,0,0,305,-4535,1570,0,0,0,0
3/29/2018,-770,10,330,1265,1265,1290,1128,1253,0,0,-240,2125,-635,830,775,695,-535,240,270,660
3/30/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2018,0,0,0,-2523,-2535,2653,-3810,0,0,770,315,2980,-1025,0,1250,0,2155,-1455,2525,0
4/3/2018,150,-240,-440,590,553,-685,403,-1255,110,0,-315,-1645,1190,370,-2645,-2760,-1485,-415,-160,750
4/4/2018,-920,390,0,3728,3715,-3398,3015,2815,-660,-370,895,-4170,3605,-2270,3775,0,1540,850,-1490,0
4/5/2018,-140,490,-670,-485,-498,678,-273,-45,0,320,1665,195,160,1025,-2035,1895,-315,-315,1045,2780
4/6/2018,980,0,-490,-1785,-1735,2228,-2260,-435,70,50,1075,2540,-610,-1595,760,310,0,-375,1230,-1925
4/9/2018,860,-50,0,-135,-110,328,-685,365,0,-110,450,310,-1090,0,-45,-285,-1310,355,1020,0
4/10/2018,0,0,1060,-560,-585,565,-648,-145,0,170,505,1045,-610,2065,-645,-1580,1420,-500,310,0
4/11/2018,560,340,1350,65,78,65,115,-1018,0,0,-630,275,40,-1175,-780,-1305,-815,725,-650,0
4/12/2018,0,190,470,-510,-510,440,703,-718,800,80,580,635,245,625,-1150,-1945,-155,-125,360,590
4/13/2018,-570,-300,520,965,965,-898,1303,-410,0,0,-75,-1135,1560,235,-310,150,-550,425,-700,0
4/16/2018,100,520,0,-298,-323,565,-448,503,0,70,-590,470,15,0,-185,-370,385,-140,270,0
4/17/2018,0,420,0,-573,-610,640,-885,615,70,60,365,1415,-610,755,845,1520,1215,-500,260,0
4/18/2018,820,-410,2160,40,65,3,178,15,0,30,225,0,-685,585,-65,1420,355,-340,0,0
4/19/2018,0,-860,0,-423,-398,290,303,-360,0,530,-285,470,770,-440,-460,-630,0,-325,275,0
4/20/2018,0,180,-90,0,0,0,0,0,-1050,-600,-625,1365,1440,-65,500,1065,0,0,0,-600
4/23/2018,-260,650,0,390,328,-310,290,-148,100,-250,-595,-865,-610,0,-375,-775,380,-65,-180,0
4/24/2018,0,90,800,2303,2278,-2248,2603,-310,0,-290,460,-3295,3490,815,1935,-425,2205,5,-1000,0
4/25/2018,-280,-130,-670,0,0,0,0,303,-200,30,10,0,0,-720,-220,905,0,0,0,0
4/26/2018,-510,-150,600,-910,-885,840,-1148,765,0,-260,670,1145,-610,5,25,1260,915,0,430,1160
4/27/2018,-190,-60,-150,-223,-223,-60,-60,-433,0,240,1290,-1170,2030,30,250,2780,-465,0,0,0
4/30/2018,0,-370,0,-1210,-1210,-1285,-1110,-385,670,80,280,-1315,-660,0,845,-405,-860,335,-505,0
5/1/2018,630,-600,-320,-623,-623,-735,-398,43,0,0,505,-2045,0,40,-200,875,760,-375,665,0
5/2/2018,-500,-480,0,0,0,0,0,-595,0,250,-1705,0,510,-170,-725,95,-755,0,0,935
5/3/2018,0,750,510,28,53,-373,-610,-93,110,70,-220,-765,-610,-240,-1085,-295,125,-410,515,0
5/4/2018,0,40,1820,1978,2003,-1798,2265,1878,-540,0,230,-2390,0,-425,2355,1775,1400,1080,-1670,1600
5/7/2018,210,-100,-960,28,15,-310,-323,-645,0,0,-115,-90,-705,0,-1165,-780,-220,-625,190,0
5/8/2018,-2000,1480,0,3,3,-185,-173,-283,90,340,-95,-145,-225,-305,-370,-75,0,0,0,0
5/9/2018,0,30,1270,-898,-935,940,890,268,-600,20,-1160,1370,-610,310,970,125,1460,-45,0,570
5/10/2018,0,310,450,-823,815,703,615,653,0,-880,350,805,655,180,580,1270,830,0,560,0
5/11/2018,450,-190,30,0,0,0,0,-273,0,10,-20,30,190,370,-390,415,-580,0,0,0
5/14/2018,-50,-260,-20,-535,-535,-448,-310,-235,0,-280,190,-415,-305,0,-440,-230,-420,-270,110,0
5/15/2018,-160,210,0,-485,-485,153,253,-495,1680,230,-135,35,-70,-585,-10,625,0,170,370,0
5/16/2018,-290,-280,-210,0,0,0,0,128,0,10,290,375,0,-65,250,-410,320,0,0,205
5/17/2018,0,-300,960,-60,-48,-135,-85,-160,0,-600,-565,165,-610,-420,5,-640,-615,0,-310,0
5/18/2018,0,-170,0,53,53,190,228,-395,80,0,-150,135,-70,405,60,-40,0,0,0,0
5/21/2018,0,-260,0,-23,-23,-85,-273,-558,-530,110,-1025,-790,-810,0,550,0,-970,80,-30,0
5/22/2018,-370,1010,600,740,-835,-810,-610,-398,0,-680,-230,-1065,-525,510,40,-355,-855,75,-170,0
5/23/2018,-20,330,-650,928,903,-823,-735,455,150,0,260,1685,1800,-1310,1805,1620,1275,210,180,0
5/24/2018,190,120,-1050,-198,-235,265,78,315,0,0,0,0,0,0,-200,635,-1230,0,635,550
5/25/2018,1380,0,0,-23,-48,-23,15,-160,-260,80,115,0,0,10,-495,-45,-115,15,-70,0
5/28/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2018,0,-860,0,553,-723,490,878,-548,0,60,-390,-175,-610,0,-1260,-715,0,-165,1060,0
5/30/2018,1130,-60,0,990,990,890,878,890,-520,120,-550,490,-610,530,-435,-905,600,690,525,-90
5/31/2018,760,1920,-100,615,615,590,528,-348,0,-340,-135,0,0,205,-1930,-1560,-305,0,355,0
6/1/2018,620,-350,-460,440,440,415,353,153,-460,-70,-365,1110,810,490,640,130,1045,-20,105,935
6/4/2018,0,420,-680,-335,103,-23,3,78,0,330,85,570,420,0,380,0,485,-250,-75,0
6/5/2018,0,250,0,0,0,0,0,-445,0,260,130,215,-180,305,-585,270,-40,50,0,0
6/6/2018,550,-640,-560,-773,703,640,553,615,-70,-140,250,560,-610,160,65,-195,-645,0,465,0
6/7/2018,0,0,0,-173,-173,-210,-273,-323,0,0,450,0,0,-110,-90,550,215,0,370,0
6/8/2018,0,480,-830,615,603,-685,-585,465,-30,-20,125,-735,620,-955,10,1160,0,0,-270,0
6/11/2018,0,330,0,-260,140,115,328,103,0,20,-150,325,615,0,85,0,390,-100,-20,0
6/12/2018,-220,420,390,3,3,-148,-60,-273,-320,310,220,395,425,-25,-465,10,685,325,95,0
6/13/2018,-730,400,0,0,0,-510,-310,-558,0,-40,-1620,-205,-630,120,-1230,-390,-405,120,0,0
6/14/2018,0,290,360,0,0,0,0,0,-50,-20,0,0,0,0,0,0,0,0,0,0
6/15/2018,1990,-590,-150,-285,115,-298,-373,-120,0,-240,-270,-245,-295,0,135,10,-280,-105,300,775
6/18/2018,0,40,-60,-785,-785,-773,-735,378,0,470,325,-1225,625,0,725,0,45,350,-445,0
6/19/2018,-240,160,-1910,578,553,-373,340,353,-840,160,-640,-645,-610,-1875,-95,-2070,330,-60,30,0
6/20/2018,800,740,140,-135,90,-98,65,-258,0,-300,185,250,270,330,110,1190,100,-335,-180,-440
6/21/2018,-960,-50,-1370,815,815,778,940,-583,-50,200,-155,-1480,0,-135,-600,125,-1035,0,445,0
6/22/2018,1990,0,2730,215,153,-110,-23,-383,-170,70,255,-155,360,765,-965,-470,-265,285,170,485
6/25/2018,-750,690,0,-1173,1153,790,1328,0,0,-190,-160,1215,1925,0,15,0,0,-1370,1155,0
6/26/2018,0,910,-350,-85,-123,240,-548,140,-220,-190,80,400,-610,-20,-675,-435,-270,0,320,-50
6/27/2018,1450,-1060,1870,-1310,-1310,-1260,-985,-470,0,10,395,-2245,-1240,-265,1365,-620,215,0,635,0
6/28/2018,0,-190,930,0,0,0,0,543,0,600,165,0,1625,35,590,2180,460,5,-385,0
6/29/2018,730,-10,190,-310,-310,-423,-98,-210,0,-90,50,-420,-260,610,510,1365,-880,5,150,885
7/2/2018,-260,-60,-260,-1085,-1085,-885,603,18,0,200,-1480,-1780,1425,0,1470,1280,440,210,-50,40
7/3/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/4/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/2018,0,-470,0,-498,-510,503,365,415,0,410,340,555,-300,0,275,-610,-720,30,250,0
7/6/2018,-1040,-540,1320,0,0,0,0,715,0,-150,220,1455,0,-110,1425,1975,1330,0,-705,0
7/9/2018,0,70,0,490,490,403,315,415,0,120,220,325,-480,0,515,-360,655,-95,520,0
7/10/2018,50,10,-190,-298,240,115,128,-220,-480,290,570,0,-45,355,-750,50,115,-570,180,0
7/11/2018,1960,460,0,-98,-135,228,-173,-235,0,-220,70,-5,185,-445,-1025,-955,-820,-160,265,0
7/12/2018,560,650,0,-485,490,553,515,328,0,130,375,1395,-610,595,1000,485,1340,495,295,575
7/13/2018,520,-1110,-100,153,128,0,0,215,130,260,30,0,0,85,-490,840,390,0,0,0
7/16/2018,1980,-720,0,0,0,0,0,-160,0,-310,40,0,0,0,195,0,-225,620,-105,0
7/17/2018,-280,-1120,0,928,890,-1010,-1110,928,-960,350,-420,-2060,2155,-15,1595,1260,895,0,0,0
7/18/2018,-1240,530,300,0,0,0,0,153,0,240,180,0,0,-295,-360,945,-205,40,0,0
7/19/2018,-860,1720,-820,-223,-273,315,165,-60,160,-550,-120,730,-335,-540,-1440,-1755,0,560,-5,0
7/20/2018,0,-1110,-510,3,-123,53,-35,-160,10,30,-65,-455,0,50,-385,-80,75,0,-465,-145
7/23/2018,0,390,0,340,278,-498,-498,290,0,-100,10,-1230,600,0,820,0,300,275,-80,0
7/24/2018,0,460,-270,-173,-173,-398,-485,-235,0,-140,390,-1365,-650,345,250,995,-1765,755,315,770
7/25/2018,820,-510,480,0,0,0,0,940,-280,0,-830,0,0,-80,1460,700,1670,0,-105,1275
7/26/2018,-470,-140,50,15,28,115,28,-210,0,50,-210,315,-175,0,-345,-1250,0,-635,170,0
7/27/2018,870,70,-100,-1173,-1173,-1110,-1073,0,-1010,0,600,-2425,2980,235,1820,730,1820,0,0,0
7/30/2018,30,-10,-440,0,0,0,0,0,0,-280,185,0,0,0,780,0,0,0,0,0
7/31/2018,660,-250,0,-48,-148,15,103,-120,0,0,330,-510,530,235,-130,-280,-450,750,270,0
8/1/2018,360,1050,-930,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
8/2/2018,-2020,180,0,1453,-1473,-1473,-1410,1115,0,0,230,-2715,2805,0,2160,0,1755,615,-535,0
8/3/2018,140,30,930,0,0,0,0,415,0,-170,50,0,0,490,-60,1960,515,0,0,725
8/6/2018,-330,30,-630,0,0,-523,-610,453,0,-310,15,0,740,0,785,0,715,0,-480,0
8/7/2018,-450,130,0,-73,28,-73,40,-73,0,-210,15,-275,-610,395,-620,705,-20,-75,245,0
8/8/2018,1980,-70,0,-235,-235,-123,-235,153,0,-350,100,-445,390,-5,-35,-370,-205,0,260,0
8/9/2018,0,320,-120,0,0,0,0,-110,0,-100,85,0,0,90,-455,-515,-85,0,0,5
8/10/2018,240,350,170,-260,-273,140,90,-198,-60,-170,335,290,-610,-630,-155,730,0,560,-60,-320
8/13/2018,580,-1550,0,640,-798,-660,-585,-335,-100,0,710,-580,-950,0,-320,-825,-1000,0,-500,0
8/14/2018,-1040,190,560,-535,378,453,553,403,0,-40,90,415,-550,405,170,-810,170,635,230,0
8/15/2018,1420,300,0,178,178,353,215,-455,660,0,155,-1045,-610,-1310,-1405,-1970,0,885,635,0
8/16/2018,0,-180,0,53,53,153,453,215,0,0,-255,-625,-610,730,-40,700,-285,430,555,2060
8/17/2018,80,0,-50,590,628,-423,478,678,0,0,-25,-250,-610,-5,-280,435,0,-380,0,0
8/20/2018,-90,-220,0,-173,65,3,78,190,0,-230,500,-305,95,0,-170,-350,-960,-40,50,0
8/21/2018,0,470,-190,-85,-85,-110,65,-110,50,-60,680,-5,-280,505,-275,265,-390,700,170,0
8/22/2018,860,-470,0,165,165,-73,-160,240,-80,80,430,0,790,295,155,375,715,340,0,0
8/23/2018,0,240,300,-185,-210,240,90,-460,-260,-260,435,0,10,-225,-1220,-1145,-1045,-215,215,0
8/24/2018,0,0,700,478,478,403,415,440,1160,270,0,725,730,380,280,-80,770,-195,405,-385
8/27/2018,0,-70,40,-398,340,315,365,165,0,160,150,725,-610,0,-165,0,510,240,455,0
8/28/2018,0,-100,20,303,-348,-398,-273,0,0,180,450,-370,-105,155,-200,5,-170,490,-340,0
8/29/2018,0,-900,0,703,703,690,753,703,0,-30,200,1300,675,145,700,-235,1175,-175,0,0
8/30/2018,120,160,590,-385,-448,340,340,-595,-460,70,685,-60,-500,-355,-420,450,-320,-65,250,0
